tweets,labels
بعضی موقع ها که دیگه از درک کردن موضوع توسط شخص مقابلت قطع امید میکنی، توضیح بیشتر رو باید بذاری کنار؛ عذرخواهی کن بذار کارت راه بیفته.,1
یادم رفته بود شیمی چقد میتونه ناجذاب باشه.,1
خیخیخیخیخیخ ناهار دادن به شما خیخیخی خفه شید دیگه بسه.,2
بکوبید که بار دومو قبول شدم💆💆,0
تراپی؟ نه ممنون، فردا زیدمو می‌بینم.,4
مسافرت نرفتن با خونواده منو تبدیل به منشی کرده. این یکی حرفش تموم میشه اون یکی زنگ میزنه. در این حین هم باید پیام هارو جواب بدم.,3
هنوزم حفظم و یادمه که همیشه فرمتِ «منزل فلانی(فامیلی)؟، فلانی(اسم کوچیک) هست؟» رو قبل زنگ زدن تمرین می‌کردم.,3
این لاو گاردن کرینج‌نام هم چیزی جز آلرژی نداره بخدا. دارم تموم میشم.,1
Dear 1400 توروخدا عجیب ترین و بدترین سال زندگیم بمون.,1
این عو عو سگان شما نیز بگذرد.,3
از دانشگاه که میام انقد خسته‌ام که اگه نخوابم حقیقتا روزم بگا میره و اگرم بخوابم خب خواب بعدازظهره و ازش بیدار که میشی غمِ بی دلیل نمی‌ذاره هیچ غلطی بکنی. واقعا وضعیت عجیبیه.,2
دوستان فهمیدم چرا بگا رفتیم.,2
پدرت🤣🤣🤣,0
دویست و هفت مشکی اتوماتیک.,3
اومدیم سر کلاس درس اختصاصی بعد استاد برامون ویدیو خودشو گذاشته🙏👌.,0
تنهایی خیابونای سرعین رو متر می‌کنم و باقلوا می‌خورم. هوا هم سرده و کاموایی پوشیدم. توییتم دوباره تموم شد.,0
فردا در میان فامیل روز سختی خواهد بود. گاد هلپ می.,1
چقد میتونید حرومزاده باشید که یه همچین عکسی رو از مردم بگیرید و بذارید اینجا. کصکش ناز هم لقب مامانت بود وقتی حوزه فعالیتش پاسگاه نعمت آباد بود. اه کله‌مو کیری کرد حیوون.,2
همه چیز سخت شده. تا تهش هم یحتمل همینه. پس کی لذت میبریم؟,1
آخه ببینید جدی😭,1
بخاطر اینکه این همه مدت غمگین بودم و هنوز هم هستم غمگینم.,1
میخام برم یه گروهی که میرن کمپینگ رو پیدا کنم و التماس کنم که منم ببرن.,1
به یک دلیل برای ادامه دادن نیاز دارم.,0
اگه از امروز شروع کنم تا اخر عید تمومه. فقط لطفا شروع کنم.,0
متاسفانه وضع خیلی بده.,1
می‌دونستید استادای دیفرانسیل تو عربستان، به منفی میگن لاپلاس؟,3
همه هم که ماشاالله اینجا مشکلاشون زیادی مهربون بودن و به خودشون توجه نکردنه😩😩 یکم خودتم نگاه کنی میبینی بد ریدی گلم. حماقت پیک می های کصشر مرا آزار میدهد.,2
حاجی عجیبه تا دو روز پیش یکی میگفت ابتهاج ناموسشو به سیخ می‌کشیدید، الان که مرد «🥲🥹🖤»؟,1
حقیقتا فیلم دیدن یادم رفته.,1
بگایی من موقعی شروع شد که ترسیدم و سعی کردم ازش فرار کنم.,2
ببینید دوستان متاسفانه مغزم به نقطه‌ای رسیده، که دائما باید یک بگایی داخلش در جریان باشه و اگر نباشه، یکی جدیدش رو می‌سازه. خب پس ینی تقریبا بگایی پایان ندارد، صرفا تغییر شکل می‌دهد.,1
بابا یبارم اورتینک نکنم. شاید خوشم اومد. ها؟,1
لذتی که در بحث سیاسی با انسان های جدی هست در حالی که جناحی که داری توش بحث میکنی کاملا رندومه تو هیچی نیست.,0
عجب مادرجنده‌ای بود این. هر روز صبح با صدای نکره‌ش دو زنگ پشت هم گسسته‌ی کسشرتر از خودشو فاکینگ عر می‌زد. بیچاره خونوادش. یه جلسه در میون هم پسرشو جلوی وبکم کتک می‌زد.,2
یجوری سر این قضیه به هم می‌پرید انگار خودتون ۸۸ موتور پلیس آتیش می‌زدید. کیر تو مغزتون بسه دیگه.,2
یکی از دوستان هست توی گروه دانشگاه و توی عکس پروفایلش خیییلی قشنگ خندیده. واضحه که از ته دله و من واقعا میخام اون خنده رو.,0
این استاد ادبیات میگه الان بهترین لحظات زندگی شماست=)))))) Well that's unfortunate.,0
بزرگترین کابوس؟  گیر افتادن توی زندگی کارمندی توی ایران. کابوس که میگم ینی واقعا وحشت میکنماااا.,1
نادر رو یادتونه؟ تو فیتیله‌ی خنده بازار زنگ میزد ترول میکرد. دلم واسه اونم تنگ شده.,1
میگر زیمین خیدا ویسیع نیبود کی میهاجیرت کونید؟!,2
در باب دیگر چیز هایی که نباید وجود داشته باشن براتون بگم که «اتوکد سه بعدی».,1
از دیگر چیزهایی که انتها ندارن میشه به حرامزادگی استادای دانشکده فنی اشاره کرد.,2
مثل اینکه اومیکرونه.,3
اگه یه اپسیلون به این پست انگیزشی هایی که دوران راهنمایی تو اینستام میذاشتم اعتقاد داشتم الان وضعم این نبود.,1
باباتو دزدیدم مرتیکه این چه وضشه بذار راحت پاس کنیم دیگه. معلوم نی از کجا فشار میخوره رو دانشجوی بدبخت خالی میکنه.,2
استیکر دختربچه ی طاق باز خوابیده ی بغض آلود*,1
مملکت نیست که تونل وحشته. بچه رو میبرن قاتل باباشو ببینه، اون یکی سر زنشو میبره. بابا قراره بخوابیما اینجا هم.,2
قرار بود امتحانا که تموم شد مثلا یکم کصکلک کنم که مریضی زد همشو نابود کرد. اههههههه,2
دوستان اون سه نقطه قرمز ها هست که میزنی باز میشه تا همه ی استادایی که ارائه میدن رو ببینی؛ من بعد از انتخاب واحد فهمیدم اونا چیه. و از انتخاب واحدم هم راضی ام. شب خوش🖐️,0
نتیجه ریسرچ کم‌کم داره به سمتی خوبی پیش میره ,0
سلام بچه‌ها. چه خبرا؟,3
